provider,model,intelligence_index,hallucination_rate,cost_per_task_usd,decode_time_minutes,riy_aa_proxy,source,retrieved_at,decode_time_seconds
Anthropic,Claude Fable 5.1 (max with fallback),53.3737509623252,0.7258392675483215,7.629706364004841,12.233735809905788,0.0015677111780669586,https://artificialanalysis.ai/models/,2026-09-10,734.0241485943473
OpenAI,GPT-6 Astra (max),52.814069395513,0.5133689839572193,3.2575003134834164,8.381326241538163,0.009413523379189815,https://artificialanalysis.ai/models/,2026-09-10,502.8795744922898
Anthropic,Claude Opus 5 (max),50.7001865797629,0.6081771720613288,5.858396237036018,14.180442525905395,0.002391281842499997,https://artificialanalysis.ai/models/,2026-09-10,850.8265515543237
Meta,Muse Spark 1.3 (max),48.1690107719685,0.3293943870014771,1.6048932100125866,5.063980776075211,0.039746301596638986,https://artificialanalysis.ai/models/,2026-09-10,303.83884656451266
Z AI,GLM-5.3 (max),44.855717385614,0.29554043839758126,2.0056375150449584,15.785389883042262,0.00998081756944464,https://artificialanalysis.ai/models/,2026-09-10,947.1233929825357
xAI,Grok 4.6 (high),44.4050073012592,0.3428847392144237,1.8589423352127492,11.153236014326158,0.0140736481315884,https://artificialanalysis.ai/models/,2026-09-10,669.1941608595695
Moonshot,Kimi K3 (max),43.7841729518782,0.5319554848966613,2.0001323004425493,18.478123669557185,0.005544823392767667,https://artificialanalysis.ai/models/,2026-09-10,1108.687420173431
Google,Gemini 3.8 Flash (high),41.1863571765904,0.551762114537445,1.2427947606950427,4.35662783910068,0.03409667783505703,https://artificialanalysis.ai/models/,2026-09-10,261.3976703460408
DeepSeek,DeepSeek V4.1 Flash (max),39.545442472527,0.9645522388059702,0.26522527009606844,5.945129710295289,0.008890148504637457,https://artificialanalysis.ai/models/,2026-09-10,356.7077826177173
OpenAI,GPT-5.6 Luna (max),37.5048489690841,0.9257857974388825,0.17829726152289094,6.487743826023385,0.02406224144379489,https://artificialanalysis.ai/models/,2026-09-10,389.26462956140307
DeepSeek,DeepSeek V4 Pro 0813 (max),36.2828791278402,0.9482645710543549,0.6740219040435134,11.297739737375398,0.002465041414648726,https://artificialanalysis.ai/models/,2026-09-10,677.8643842425239
